# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
308800 38671 0 38529 6 314 344
309200 38719 0 38581 6 314 344
309600 38766 0 38634 6 314 344
310000 38815 0 38685 6 314 344
310400 38861 0 38739 6 314 344
310800 38918 0 38782 6 314 344
311200 38968 0 38832 6 314 344
311600 39014 0 38886 6 314 344
312000 39071 0 38929 6 314 344
312400 39119 0 38981 6 314 344
312800 39169 0 39031 6 314 344
313200 39219 0 39081 6 314 344
313600 39270 0 39130 6 314 344
314000 39335 0 39165 6 314 344
314400 39384 0 39216 6 314 344
314800 39431 0 39269 6 314 344
315200 39486 0 39314 6 314 344
315600 39537 0 39363 6 314 344
316000 39582 0 39418 6 314 344
316400 39643 0 39457 6 314 344
316800 39695 0 39505 6 314 344
317200 39744 0 39556 6 314 344
317600 39796 0 39604 6 314 344
318000 39833 0 39667 6 314 344
318400 39883 0 39717 6 314 344
318800 39937 0 39763 6 314 344
319200 39980 0 39820 6 314 344
319600 40032 0 39868 6 314 344
320000 40084 0 39916 6 314 344
