# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
295600 37168 2 36732 12 20 339
296000 37221 2 36779 12 20 339
296400 37266 2 36834 12 20 339
296800 37323 2 36877 12 20 339
297200 37376 2 36924 12 20 339
297600 37420 2 36980 12 20 339
298000 37466 2 37034 12 20 339
298400 37510 2 37090 12 20 339
298800 37565 2 37135 12 20 339
299200 37618 2 37182 12 20 339
299600 37670 2 37230 12 20 339
300000 37714 2 37286 12 20 339
300400 37768 2 37332 12 20 339
300800 37826 2 37374 12 20 339
301200 37872 2 37428 12 20 339
301600 37922 2 37478 12 20 339
302000 37975 2 37525 12 20 339
302400 38019 2 37581 12 20 339
302800 38072 2 37628 12 20 339
303200 38117 2 37683 12 20 339
303600 38168 2 37732 12 20 339
304000 38217 2 37783 12 20 339
304400 38262 2 37838 12 20 339
304800 38316 2 37884 12 20 339
305200 38368 2 37932 12 20 339
305600 38421 2 37979 12 20 339
306000 38466 2 38034 12 20 339
306400 38522 2 38078 12 20 339
306800 38572 2 38128 12 20 339
307200 38625 2 38175 12 20 339
307600 38668 2 38232 12 20 339
308000 38723 2 38277 12 20 339
308400 38779 2 38321 12 20 339
308800 38830 2 38370 12 20 339
309200 38876 2 38424 12 20 339
309600 38927 2 38473 12 20 339
310000 38972 2 38528 12 20 339
310400 39022 2 38578 12 20 339
310800 39069 2 38631 12 20 339
311200 39110 2 38690 12 20 339
311600 39164 2 38736 12 20 339
312000 39213 2 38787 12 20 339
312400 39254 2 38846 12 20 339
312800 39303 2 38897 12 20 339
313200 39355 2 38945 12 20 339
313600 39412 2 38988 12 20 339
314000 39463 2 39037 12 20 339
314400 39502 2 39098 12 20 339
314800 39552 2 39148 13 19 338
315200 39606 2 39194 13 19 338
315600 39649 2 39251 14 18 337
316000 39699 2 39301 14 18 337
316400 39740 2 39360 14 18 337
316800 39790 2 39410 14 18 337
317200 39841 2 39459 14 18 337
317600 39892 2 39508 14 18 337
318000 39943 3 39557 14 19 338
318400 39989 3 39611 14 19 338
318800 40031 3 39669 14 19 338
319200 40080 3 39720 14 19 338
319600 40127 3 39773 14 19 338
